idsml,idver,zverejneni,uzavreni,subjekt,ico,utvar,cena_bezdph,cena_sdph,cena_cizi,cena_cizi_mena,predmet,navazny
129,129,2016-07-01T09:55:12+02:00,2015-05-13,Fakturace (Ministerstvo obrany),60162694,A499,6000000.0,6000000.0,,,"BMW PRAHA - část VZ č. 12 - Servis, údržba a opravy vozidel kategorie M1, N1 2015-2018",
133,133,2016-07-01T09:57:15+02:00,2015-05-13,Fakturace (Ministerstvo obrany),60162694,A499,8400000.0,8400000.0,,,"MERCEDES PRAHA - část VZ č. 13 - Servis, údržba aopravy vozidel kategorie M1, N1 2015-2018",
137,137,2016-07-01T09:58:46+02:00,2015-07-09,Fakturace (Ministerstvo obrany),60162694,A499,26340000.0,26340000.0,,,"ŠKODA a VW PRAHA - část č VZ č. 1 - Servis, údržba a opravy vozidel kategorie M1, N1 2015-2018",
141,141,2016-07-01T10:00:32+02:00,2015-06-12,Fakturace (Ministerstvo obrany),60162694,A499,3300000.0,3300000.0,,,"FORD TÁBOR - část VZ č. 7 - Servis, údržba a opravy vozidel kategorie M1, N1 2015-2018",
145,145,2016-07-01T10:03:02+02:00,2015-06-19,Fakturace (Ministerstvo obrany),60162694,A499,8620000.0,8620000.0,,,"LAND ROVER PRAHA - část VZ č. 9 - Servis, údržba a opravy vozidel kategorie M1, N1 2015-2018",
149,149,2016-07-01T10:04:13+02:00,2015-06-19,Fakturace (Ministerstvo obrany),60162694,A499,18000000.0,18000000.0,,,"TOYOTA PRAHA - část VZ č. 11 - Servis, údržba a opravy vozidel kategorie M1, N1 2015-2018",
153,153,2016-07-01T10:05:24+02:00,2016-01-01,"Mateřská škola speciální, Ústí nad Labem, Štefánikova 761, příspěvková organizace",70229457,,,,,,Dodávka elektřiny v rámci sdružených služeb dodávky elektřiny v napěťové hladině nízkého napětí,
157,157,2016-07-01T10:05:43+02:00,2016-01-21,Fakturace (Ministerstvo obrany),60162694,A499,6720000.0,6720000.0,,,"KAROSA PARDUBICE - část č. 2 VZ - II. OŘ Autobusy- servis, údržba a opravy 2015-2018",
161,161,2016-07-01T10:06:20+02:00,2016-01-22,Fakturace (Ministerstvo obrany),60162694,A499,6280000.0,6280000.0,,,"KAROSA BECHYNĚ - část č. 1 VZ - II. OŘ Autobusy -servis, údržba a opravy 2015-2018",
165,165,2016-07-01T10:08:45+02:00,2015-06-11,Fakturace (Ministerstvo obrany),60162694,A499,8500000.0,8500000.0,,,Zabezpečení polygrafické výroby pro rezort MO,
169,169,2016-07-01T10:09:51+02:00,2016-05-27,Fakturace (Ministerstvo obrany),60162694,A499,17040000.0,17040000.0,,,"ŠKODA a VW OLOMOUC - Servis, údržba a opravy vozidel kategorie M1 a N1 2016-2019 III (část 2)",
173,173,2016-07-01T10:16:33+02:00,2016-06-30,"Vincentinum - poskytovatel sociálních služeb Šternberk, příspěvková organizace",75004429,,,,,,Smlouva o poskytování stravování,
181,177,2016-07-01T10:22:49+02:00,2016-02-09,Město Přeštice,00257125,KS,285000.0,285000.0,,,dotační (i rozhodnutí) - Smlouva o poskytnutí účelové dotace určené na zajištění dopravní obslužnosti území Plzeňského kraje v roce 2016,
185,181,2016-07-01T10:23:17+02:00,2015-10-22,Fakturace (Ministerstvo obrany),60162694,A499,4860000.0,4860000.0,,,"ŠKODA a VW PARDUBICE - část VZ č. 3 - Servis, údržba a opravy vozidel kategorie M1, N1 2015 - 2018 II",
189,185,2016-07-01T10:24:23+02:00,2015-10-22,Fakturace (Ministerstvo obrany),60162694,A499,2400000.0,2400000.0,,,"RENAULT PARDUBICE - část VZ č. 6 - Servis, údržbaa opravy vozidel kategorie M1, N1 2015 - 2018 II",
193,189,2016-07-01T10:24:29+02:00,2016-06-23,"ČEPRO, a.s.",60193531,,,,,,Smlouva o nákupu a užití produktů Sodexo,
21,193,2016-07-01T10:25:06+02:00,2016-06-01,"Zdravotnická záchranná služba Olomouckého kraje, příspěvková organizace",00849103,,,,,,Smlouva o sdružených službách - plyn,
197,197,2016-07-01T10:25:12+02:00,2016-06-23,"ČEPRO, a.s.",60193531,,4199999.0,,,,Provedení repasí 2 vozidel CAS 32 na podvozku Tatra T 815,
201,201,2016-07-01T10:27:11+02:00,2016-07-01,Liberecký kraj,70891508,,63600.0,,,,"Smlouva o poskytnutí dotace - ""Dokončení zázemí hasičárny Předlánce, oprava podlahy Hasičárna Višňová",
13,205,2016-07-01T10:30:07+02:00,2016-06-28,"Zdravotnická záchranná služba Olomouckého kraje, příspěvková organizace",00849103,,,,,,Smlouva o podnájmu,
17,209,2016-07-01T10:32:58+02:00,2016-06-27,"Zdravotnická záchranná služba Olomouckého kraje, příspěvková organizace",00849103,,,,,,Smlouva o podnájmu,
205,213,2016-07-01T10:33:42+02:00,2016-06-27,Masarykova univerzita,00216224,,1048000.0,,,,Kupní smlouva - Dodávka serverů pro FI MU,
209,217,2016-07-01T10:35:51+02:00,2015-12-22,Fakturace (Ministerstvo obrany),60162694,A499,263005.6,263005.6,,,Předání nebezpečného odpadu jiné oprávněné osobě v roce 2016 -2017,
213,221,2016-07-01T10:40:09+02:00,2016-06-21,Město Aš,00253901,,6930000.0,8385300.0,,,Smlouva o dílo - protipožární opatření objektu laRitma v Aši,
221,229,2016-07-01T10:44:23+02:00,2016-07-01,"Armádní Servisní, příspěvková organizace",60460580,,199500.0,241395.0,,,Připojení mikrovlnným spojem P2P,
229,237,2016-07-01T10:51:24+02:00,2016-07-01,Český statistický úřad,00025593,Odbor veřejných zakázek a právních služeb,2337420.0,2828278.2,,,"Předmětem smlouvy o poskytování úklidových služeb a dodávkách hygienického materiálu v budově ústředí ČSÚ je poskytování úklidových služeb v budově ústředí ČSÚ v Praze 10, Na padesátém 3268/81 a dodávka hygienického materiálu.",
233,241,2016-07-01T10:52:07+02:00,2016-02-16,Fakturace (Ministerstvo obrany),60162694,A499,,,,,Dodatek č. 1 - Autobusy různých značek PRAHA - část č. 1 VZ - OŘ Autobus - opravy a udržování 2015-2018,
237,245,2016-07-01T10:53:09+02:00,2016-06-29,Město Žďár nad Sázavou,00295841,,449720.0,,,,smlouva uzavřená ve smyslu § 1746/2 z.č. 89/2012,
241,249,2016-07-01T10:54:23+02:00,2015-12-31,Fakturace (Ministerstvo obrany),60162694,A499,,,,,Dodatek č. 1 - KAROSA a SOR OLOMOUC - část č. 5 VZ - OŘ Autobus - opravy a udržování 2015-2018,
245,253,2016-07-01T10:55:11+02:00,2015-12-31,Fakturace (Ministerstvo obrany),60162694,A499,,,,,"Dodatek č. 1 - KAROSA, SOR a MERCEDES BRNO - částč. 4 VZ - OŘ Autobus - opravy a udržování 2015-2018",
249,257,2016-07-01T10:55:35+02:00,2016-02-16,Fakturace (Ministerstvo obrany),60162694,A499,,,,,"Dodatek č. 2 - KAROSA, SOR a MERCEDES BRNO - částč. 4 VZ - OŘ Autobus - opravy a udržování 2015-2018",
253,261,2016-07-01T10:56:43+02:00,2016-06-30,Město Hodkovice nad Mohelkou,00262820,,50000.0,60500.0,,,Studie revitalizece koupaliště,
257,265,2016-07-01T11:11:54+02:00,2016-06-30,"Domov Vítkov, příspěvková organizace",71196951,,,107940.0,,,objednávka - záclony,
261,269,2016-07-01T11:11:21+02:00,2015-12-22,Fakturace (Ministerstvo obrany),60162694,A499,81796.0,81796.0,,,Předání ostatního odpadu (biologicky rozložitelnýodpad) jiné oprávněné osobě v roce 2016 -2017,
265,273,2016-07-01T11:12:28+02:00,2016-06-20,Fakturace (Ministerstvo obrany),60162694,A499,80000.0,80000.0,,,Rámcová smlouva -. servis a opravy kopírovacích zařízení,
269,277,2016-07-01T11:13:34+02:00,2016-02-15,Město Sokolov,00259586,,,,,,Smlouva o užití Ortofota ČR,
277,285,2016-07-01T11:23:48+02:00,2016-05-18,Město Vsetín,00304450,,,,,,smlouva o zřízení služebnosti inženýrské sítě,
281,289,2016-07-01T11:28:02+02:00,2016-06-27,"Střední odborné učiliště elektrotechnické, Plzeň, Vejprnická 56",69456330,,,,,,Mandátní smlouva o provádění služeb v oblasti BOZP,
285,293,2016-07-01T11:30:11+02:00,2016-04-01,Fakturace (Ministerstvo obrany),60162694,A499,,,,,"Dodatek č. 1 - RENAULT PARDUBICE - část VZ č. 6 -Servis, údržba a opravy vozidel kategorie M1, N1 2015 - 2018 II",
289,297,2016-07-01T11:34:17+02:00,2010-09-06,STATUTÁRNÍ MĚSTO LIBEREC,00262978,Odbor informatiky a řízení procesů,,,,,Smlouva o poskytování služeb v oblasti veřejně dostupné služby elektronických komunikací,
293,301,2016-07-01T11:35:41+02:00,2016-07-01,"Zdravotnická záchranná služba Zlínského kraje, příspěvková organizace",62182137,,,,,,zajišťování výkonu stomatologické pohotovostní služby,
297,305,2016-07-01T11:39:14+02:00,2016-07-01,"Armádní Servisní, příspěvková organizace",60460580,,84000.0,,,,pyrotechnický průzkum ve vojenském prostoru u obce Město Libavá,
301,309,2016-07-01T11:40:51+02:00,2016-07-01,Technická univerzita v Liberci,46747885,,329880.0,399154.8,,,poskytování komplexních služeb BOZP a PO,
305,313,2016-07-01T11:44:08+02:00,2016-07-01,MSK registr smluv (Moravskoslezský kraj),70890692,Odbor právní a organizační,,300000.0,,,"Smlouva o poskytnutí dotace z rozpočtu MSK - 69. Mezinárodní folklorní setkání ""Gorolski Świeto""",
313,321,2016-07-01T11:49:08+02:00,2016-07-01,Liberecký kraj,70891508,,,77500.0,,,Smlouva o poskytnutí dotace - Nákup ochranných prostředků,
317,325,2016-07-01T11:49:10+02:00,2016-07-01,Liberecký kraj,70891508,,,72754.0,,,Smlouva o poskytnutí dotace - Dýchací technika,
321,329,2016-07-01T11:49:44+02:00,2016-07-01,Liberecký kraj,70891508,,,135000.0,,,Smlouva o poskytnutí dotace - Dokončení rekonstrukce hasičské zbrojnice,
325,333,2016-07-01T11:56:46+02:00,2015-04-30,Univerzita Karlova v Praze,00216208,1.LFUK OVZ,1999000.0,,,,"1.LFUK OVZ 2015L-0023 rámcová smlouva o dílo, Přeprava těl zemřelých určených pro potřeby vědy",
329,337,2016-07-01T11:58:20+02:00,2016-07-01,MSK registr smluv (Moravskoslezský kraj),70890692,Odbor právní a organizační,,100000.0,,,Smlouva o poskytnutí dotace z rozpočtu Moravskoslezského kraje - Dotace Vodní záchranná služba ČČK Těrlicko,
337,345,2016-07-01T12:10:34+02:00,2016-06-23,Město Semily,00276111,,500000.0,500000.0,,,Smlouva o dotaci_dotace na zajištění akcí Dožínkové slavnosti „Semilský pecen“ 2017 - 2021,
341,349,2016-07-01T12:13:54+02:00,2016-07-01,Liberecký kraj,70891508,,,77515.0,,,Smlouva o poskytnutí dotace -,
349,357,2016-07-01T12:31:40+02:00,2016-07-01,"1. Mateřská škola Karlovy Vary, Komenského 7, příspěvková organizace",71237003,,,,,,prodej potravinářského zboží,
353,361,2016-07-01T12:32:18+02:00,2016-07-01,"1. Mateřská škola Karlovy Vary, Komenského 7, příspěvková organizace",71237003,,,,,,prodej potravinářského zboží,
357,365,2016-07-01T12:32:49+02:00,2016-07-01,"1. Mateřská škola Karlovy Vary, Komenského 7, příspěvková organizace",71237003,,,,,,prodej potravinářského zboží,
365,373,2016-07-01T12:33:10+02:00,2016-07-01,"1. Mateřská škola Karlovy Vary, Komenského 7, příspěvková organizace",71237003,,,,,,prodej potravinářského zboží,
369,377,2016-07-01T12:34:57+02:00,2016-04-13,Státní fond životního prostředí České republiky,00020729,,355000.0,429550.0,,,Smlouva o účasti na Veletrhu Brno 2016,
373,381,2016-07-01T12:42:54+02:00,2016-07-01,Město Mikulov,00283347,finanční odbor,295744.0,357850.24,,,pronájem prostor podnikání v objektu č.p. 1769,
377,385,2016-07-01T12:49:02+02:00,2016-07-01,Statutární město Havířov,00297488,,242800.0,293788.0,,,Objednávka 72_ORG_16,
381,389,2016-07-01T12:52:44+02:00,2016-07-01,Liberecký kraj,70891508,,,69000.0,,,Smlouva o poskytnutí dotace - Výměna oken a dveří v HZ,
385,393,2016-07-01T12:56:42+02:00,2016-04-12,Fakturace (Ministerstvo obrany),60162694,A499,544800.0,544800.0,,,Očkovací látky 2016-2018 (část 4),
389,397,2016-07-01T12:58:16+02:00,2015-02-03,Fakturace (Ministerstvo obrany),60162694,A499,45000000.0,45000000.0,,,LAND ROVER - opravy a udržování  (Geryková),
393,401,2016-07-01T13:06:05+02:00,2015-07-09,Fakturace (Ministerstvo obrany),60162694,A499,,,,,dodatek č. 1,
397,405,2016-07-01T13:08:23+02:00,2016-06-06,Fakturace (Ministerstvo obrany),60162694,A499,,,,,dodatek č. 3,
401,409,2016-07-01T13:10:12+02:00,2014-12-17,Fakturace (Ministerstvo obrany),60162694,A499,81122854.01,81122854.01,,,Automobil pancéřový IVECO - náhradní díly,
405,413,2016-07-01T13:15:29+02:00,2016-07-01,Integrovaná střední škola - Centrum odborné přípravy a Jazyková škola s právem státní jazykové zkoušky Valašské Meziříčí,00851574,,160000.0,193600.0,,,Příkazní smlouva,
409,417,2016-07-01T13:14:59+02:00,2016-07-01,Liberecký kraj,70891508,,,60000.0,,,Smlouva o poskytnutí dotace - Nákup ochranných prostředků PO,
413,421,2016-07-01T13:15:01+02:00,2016-07-01,Liberecký kraj,70891508,,,50000.0,,,Smlouva o poskytnutí dotace - Nákup věcných prostředků pro JSDHO Jablonec n. N.,
417,425,2016-07-01T13:16:44+02:00,2015-08-10,Fakturace (Ministerstvo obrany),60162694,A499,20000000.0,20000000.0,,,Zabezpečení životního cyklu PPLRK RBS-70,
421,429,2016-07-01T13:19:45+02:00,2016-07-01,Liberecký kraj,70891508,,,53980.0,,,Smlouva o poskytnutí dotace - Pořízení přetlakové dýchací techniky,
425,433,2016-07-01T13:21:30+02:00,2016-07-01,Městská část Praha 3,00063517,,,,,,Smlouva o uzavření budoucí smlouvy o zřízení věcného břemene,
429,437,2016-07-01T13:33:28+02:00,2016-07-01,Zdravotní ústav se sídlem v Ústí nad Labem,71009361,,,157400.0,,,Dodávka diagnostik,
433,441,2016-07-01T13:41:30+02:00,2016-07-01,Město Rychnov nad Kněžnou,00275336,,100000.0,,,,Smlouva o poskytnutí finančního příspěvku,
437,445,2016-07-01T13:42:42+02:00,2016-07-01,"Mikrobiologický ústav AV ČR, v. v. i.",61388971,,,,,,Kupní smlouva - Centrifuga 5810 R s příslušenstvím,
441,449,2016-07-01T13:43:12+02:00,2016-07-01,Liberecký kraj,70891508,,,57000.0,,,Smlouva o poskytnutí dotace - Pořízení garážových vrat,
445,453,2016-07-01T13:43:14+02:00,2016-07-01,Liberecký kraj,70891508,,,59895.0,,,Smlouva o poskytnutí dotace - Pořízení sekčních vrat do HZ,
449,457,2016-07-01T13:43:16+02:00,2016-07-01,Liberecký kraj,70891508,,,57000.0,,,Smlouva o poskytnutí dotace -,
453,461,2016-07-01T13:43:19+02:00,2016-07-01,Liberecký kraj,70891508,,,55000.0,,,Smlouva o poskytnutí dotace - Nákup požární motorové stříkačky,
457,465,2016-07-01T13:42:43+02:00,2016-06-13,Olomoucký kraj,60609460,Odbor veřejných zakázek a investic,,15651350.0,,,"Smlouva o dílo na realizaci stavby „Slovanské gymnázium, Olomouc, tř. Jiřího z Poděbrad 13 - Elektroinstalace a modernizace počítačové sítě, objekt Pasteurova ulice“",
461,469,2016-07-01T13:44:56+02:00,2016-06-29,Město Žďár nad Sázavou,00295841,,159000.0,,,,smlouva uzavřená dle § 1746/2 z.č. 89/2012,
465,473,2016-07-01T13:46:47+02:00,2016-06-28,TS a.s.,60793716,,,,,,Dodávka obalovaných asfaltobetonových směsí,
469,477,2016-07-01T13:54:13+02:00,2016-07-01,"Firemní školka města Ostravy, příspěvková organizace",71294155,,,,,,Smlouva o zabezpečení dovozu stravy pro mateřskou školu,
477,485,2016-07-01T13:57:41+02:00,2016-07-01,Dopravní podnik měst Chomutova a Jirkova a.s.,64053466,,,236200.0,,,Objednávka - stravenky,
473,493,2016-07-01T14:04:01+02:00,2016-01-19,"Městské lesy Chomutov, příspěvková organizace",46790080,,9523200.0,11523072.0,,,Tato rámcová smlouva upravuje podmínky plnění dílčích veřejných zakázek na provedení lesnických prací v roce 2016 a způsob zadávání těchto zakázek jednotlivým zhotovitelům,
485,497,2016-07-01T14:03:42+02:00,2016-07-01,"Firemní školka města Ostravy, příspěvková organizace",71294155,,,,,,Zveřejnění záznamu v registru smluv - zavodni stravovani,
309,501,2016-07-01T14:05:34+02:00,2016-06-29,Město Nové Město na Moravě,00294900,,,,,,úprava pracovně právních podmínek a nároků zaměstnanců města Nové Město na Moravě v období od 1.7.2016 do 30.6.2020,
497,505,2016-07-01T14:09:26+02:00,2016-05-02,"Technické sítě Brno, akciová společnost",25512285,,2579929.52,3121715.0,,,Kupní smlouva č. 5/2016,
501,509,2016-07-01T14:09:49+02:00,2016-07-01,Liberecký kraj,70891508,,,56536.2,,,Smlouva o poskytnutí dotace - Výměna vchodových dveří a garážových vrat,
505,513,2016-07-01T14:09:51+02:00,2016-07-01,Liberecký kraj,70891508,,,50000.0,,,Smlouva o poskytnutí dotace -,
509,517,2016-07-01T14:10:25+02:00,2016-07-01,Liberecký kraj,70891508,,,50763.0,,,Smlouva o poskytnutí dotace - Nákup ochranných prostředků PO,
525,521,2016-07-01T14:54:51+02:00,2016-07-01,"Knihovna AV ČR, v. v. i.",67985971,,110839.84,111251.41,,,objednávka stravenky 0716,
533,529,2016-07-01T15:04:08+02:00,2016-06-30,Středočeský kraj - rejstřík smluv (Středočeský kraj),70891095,Oddělení informatiky,,469117.0,,,Kupní smlouva - nákup WinPro 10 SNGL (10 balíčků po 10 licencích),
537,533,2016-07-01T15:05:19+02:00,2016-07-29,"Zdravotnická záchranná služba Libereckého kraje, příspěvková organizace",46744991,,,39480.0,,,výroba nábytku,
541,537,2016-07-01T15:07:49+02:00,2016-05-30,"Zdravotnická záchranná služba Libereckého kraje, příspěvková organizace",46744991,,,42713.1,,,oprava vozidla,
545,541,2016-07-01T15:10:39+02:00,2016-06-29,Město Hodkovice nad Mohelkou,00262820,,45188.0,57200.0,,,zpracování průkazů energetické náročnosti budov,
549,545,2016-07-01T15:23:07+02:00,2016-06-30,Státní zdravotní ústav se sídlem v Praze,75010330,,289861.0,350732.0,,,Dodávka osobního vozu,
557,553,2016-07-01T19:24:59+02:00,2015-01-13,Univerzita Karlova v Praze,00216208,1.LFUK OVZ,1304188.3,,,,"1.LF UK OVZ 2015K-0001 rámcová kupní smlouva, dodávky drogistického zboží, úklidových a čisticích prostředků",
561,557,2016-07-01T19:24:31+02:00,2016-05-10,Univerzita Karlova v Praze,00216208,1.LFUK OVZ,1360000.0,,,,"1.LFUK OVZ Rámcová kupní smlouva 2016K-0002, dodávka podestýlky pro laboratorní zvířata",
577,573,2016-07-03T19:47:36+02:00,2016-06-02,Město Odolena Voda,00240559,,,,,,Darovací smlouva,
581,577,2016-07-03T20:18:14+02:00,2016-04-25,Město Odolena Voda,00240559,,,,,,Smlouva o poskytování servisních služeb – ČOV,
585,581,2016-07-03T20:27:34+02:00,2016-04-25,Město Odolena Voda,00240559,,,,,,Smlouva o poskytování služeb – odvoz a likvidace kalů – ČOV,
589,585,2016-07-03T20:37:12+02:00,2016-06-13,Město Odolena Voda,00240559,,,,,,Smlouva o dílo - oprava bytu č.3 v čp. 247 Čs. armády,
593,589,2016-07-03T20:43:54+02:00,2016-05-26,Město Odolena Voda,00240559,,,,,,Smlouva o dílo - Dodávka a zaregulování termostatických ventilů v ZŠ Vítězslava Hálka,
597,593,2016-07-03T20:54:03+02:00,2016-06-17,Město Odolena Voda,00240559,,,,,,"Smlouva o dílo - Revitalizace povrchu veřejného sportovního hřiště v ulici Atriová-Dolínek, 250 70 Odolena Voda",
601,597,2016-07-04T06:02:59+02:00,2016-07-01,Masarykova univerzita,00216224,,,,,,Dodatek ke smlouvě o dílo - rekonstrukce ubytovacích buněk A3 kolejí Vinařská,
605,601,2016-07-04T06:29:34+02:00,2016-07-01,MSK registr smluv (Moravskoslezský kraj),70890692,Odbor právní a organizační,,757100.0,,,Smlouva o poskytnutí dotace z rozpočtu MSK - Program zajištění dostupnosti vybraných sociálních služeb v MSK na rok 2016,
609,605,2016-07-04T06:33:41+02:00,2016-07-01,MSK registr smluv (Moravskoslezský kraj),70890692,Odbor právní a organizační,,100000.0,,,Smlouva o poskytnutí dotace z rozpočtu MSK - Život na zahradě,
613,609,2016-07-04T06:36:37+02:00,2016-07-01,MSK registr smluv (Moravskoslezský kraj),70890692,Odbor právní a organizační,,100000.0,,,Smlouva o poskytnutí dotace z rozpočtu MSK - Lesnické vzdělávací a kulturní akce v ostravském Bělském lese v roce 2016,
617,613,2016-07-04T06:52:15+02:00,2016-07-01,MSK registr smluv (Moravskoslezský kraj),70890692,Odbor právní a organizační,,50000.0,,,Smlouva o poskytnutí dotace z rozpočtu MSK - Podpora účasti na Mistrovství ČR skautů v závodech na pramicích,
621,617,2016-07-04T07:38:04+02:00,2016-06-17,Město Odolena Voda,00240559,,,,,,"Smlouva o dílo - Oprava odsávání kuchyně a sálu restaurace Opera, Náměstí Vítězslava Hálka 90, 250 70 Odolena Voda",
625,621,2016-07-04T07:41:31+02:00,2016-06-16,Město Odolena Voda,00240559,,,,,,"Oprava bytu č. 13 v čp. 277 Komenského, OV",
629,625,2016-07-04T07:47:50+02:00,2016-05-26,Město Odolena Voda,00240559,,,,,,Smlouva o sdružených službách dodávky elektřiny pro hladinu NN,
633,629,2016-07-04T07:52:06+02:00,2016-05-27,Město Odolena Voda,00240559,,,,,,Smlouva o sdružených službách dodávky elektřiny pro hladinu NN,
637,633,2016-07-04T07:57:33+02:00,2016-05-27,Město Odolena Voda,00240559,,,,,,Smlouva o sdružených službách dodávky elektřiny pro hladinu NN,
641,637,2016-07-04T08:01:20+02:00,2016-06-16,Město Odolena Voda,00240559,,,,,,Smlouva o uzavření budoucí smlouvy o zřízení věcného břemene – služebnosti a smlouva o právu provést stavbu,
649,645,2016-07-04T08:04:08+02:00,2016-06-16,Město Odolena Voda,00240559,,,,,,Kupní smlouva - radlice,
653,649,2016-07-04T08:07:35+02:00,2016-06-13,Město Odolena Voda,00240559,,,,,,"Smlouva o právo provést stavební záměr – přesun klimatizačních jednotek Žabka, čp. 249 – 250 Horní nám., OV",
657,653,2016-07-04T08:10:57+02:00,2016-05-26,Město Odolena Voda,00240559,,,,,,Smlouva o podnájmu technologií- ČOV,
661,657,2016-07-04T08:13:54+02:00,2016-05-26,Město Odolena Voda,00240559,,,,,,Dohoda o úpravě vzájemných práv a povinností mezi dvěma vlastníky provozně souvisejících kanalizací a ČOV,
665,661,2016-07-04T08:18:07+02:00,2016-04-26,Město Odolena Voda,00240559,,,,,,Smlouva o čištění odpadních vod ČOV,
669,665,2016-07-04T08:21:20+02:00,2016-04-26,Město Odolena Voda,00240559,,,,,,"Smlouva o vkladu, pachtu a provozování vodárenské infrastruktury kanalizace",
673,669,2016-07-04T08:25:47+02:00,2016-06-28,Město Odolena Voda,00240559,,,,,,Smlouva o dílo - Technologické navýšení kapacity jídel - gastrotechnologie ZŠ Vítězslava Hálka Odolena Voda,
677,673,2016-07-04T08:28:33+02:00,2016-06-28,Město Odolena Voda,00240559,,,,,,Smlouva o dílo - Technologické navýšení kapacity jídel - gastrotechnologie ZŠ Vítězslava Hálka Odolena Voda,
681,677,2016-07-04T08:36:18+02:00,2016-06-23,Město Odolena Voda,00240559,,,,,,Smlouva o dílo - vypracování projektové dokumentace - Sportovní hala,
