ico,of,kpf,npf,dv,dz,esak,esa,kpp,nacek,nace
00063517,Městská část Praha 3,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00063584,Městská část Praha 4,801,Obec nebo městská část hlavního města Prahy,1973-07-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00063941,Městská část Praha 10,801,Obec nebo městská část hlavního města Prahy,1981-01-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00064190,Thomayerova nemocnice,331,Příspěvková organizace,1981-01-01,,13110,Ústřední vládní instituce,2500 - 2999 zaměstnanců,86100,Ústavní zdravotní péče
00064203,Fakultní nemocnice v Motole,331,Příspěvková organizace,1973-07-01,,13110,Ústřední vládní instituce,5000 - 9999 zaměstnanců,86100,Ústavní zdravotní péče
00064211,Nemocnice Na Bulovce,331,Příspěvková organizace,1973-07-01,,13110,Ústřední vládní instituce,2500 - 2999 zaměstnanců,86100,Ústavní zdravotní péče
00064220,Psychiatrická nemocnice Bohnice,331,Příspěvková organizace,1973-07-01,,13110,Ústřední vládní instituce,1500 - 1999 zaměstnanců,86100,Ústavní zdravotní péče
00064297,Městská divadla pražská,331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,90040,Provozování kulturních zařízení
00064416,Galerie hlavního města Prahy,331,Příspěvková organizace,1981-01-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,91020,Činnosti muzeí
00064432,Muzeum hlavního města Prahy,331,Příspěvková organizace,1981-06-01,,13130,Místní vládní instituce,200 - 249 zaměstnanců,91020,Činnosti muzeí
00064459,Zoologická zahrada hl. m. Prahy,331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,9104,"Činnosti botanických a zoologických zahrad, přírodních rezervací a národních parků"
00064581,HLAVNÍ MĚSTO PRAHA,804,Kraj,1973-07-01,,13130,Místní vládní instituce,4000 - 4999 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00066451,"Technické služby města Mělníka, příspěvková organizace",331,Příspěvková organizace,1981-01-01,,13130,Místní vládní instituce,25 - 49 zaměstnanců,38110,"Shromažďování a sběr odpadů, kromě nebezpečných"
00069175,Hotelová a státní jazyková škola,331,Příspěvková organizace,1986-02-25,,13130,Místní vládní instituce,50 - 99 zaměstnanců,85322,Střední odborné vzdělávání na středních odborných školách
00069221,"Česká zahradnická akademie Mělník - střední škola a vyšší odborná škola, příspěvková organizace",331,Příspěvková organizace,1987-02-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,85322,Střední odborné vzdělávání na středních odborných školách
00069566,"Střední odborné učiliště, Hubálov 17",331,Příspěvková organizace,1986-02-25,,13130,Místní vládní instituce,50 - 99 zaměstnanců,85321,Střední odborné vzdělávání na učilištích
00069647,"Střední odborné učiliště, Hluboš 178",331,Příspěvková organizace,1986-02-25,,13130,Místní vládní instituce,50 - 99 zaměstnanců,85321,Střední odborné vzdělávání na učilištích
00071307,"Muzeum Vysočiny Pelhřimov, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,10 - 19 zaměstnanců,91020,Činnosti muzeí
00073172,"Střední odborné učiliště zemědělské a služeb, Dačice, nám Republiky 86",331,Příspěvková organizace,1986-02-25,,13130,Místní vládní instituce,50 - 99 zaměstnanců,85321,Střední odborné vzdělávání na učilištích
00075051,"Městská knihovna Klatovy, příspěvková organizace",331,Příspěvková organizace,1982-01-01,,13130,Místní vládní instituce,20 - 24 zaměstnanci,91010,Činnosti knihoven a archivů
00075370,Statutární město Plzeň,801,Obec nebo městská část hlavního města Prahy,1991-01-01,,13130,Místní vládní instituce,1500 - 1999 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00077291,"Střední zemědělská škola Dalovice, příspěvková organizace",331,Příspěvková organizace,1986-02-25,,13130,Místní vládní instituce,10 - 19 zaměstnanců,85322,Střední odborné vzdělávání na středních odborných školách
00078051,"Divadlo Josefa Kajetána Tyla, příspěvková organizace",331,Příspěvková organizace,1991-04-01,,13130,Místní vládní instituce,500 - 999 zaměstnanců,90010,Scénická umění
00079065,"Technické služby města Chomutova, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,38110,"Shromažďování a sběr odpadů, kromě nebezpečných"
00080128,"Technické služby města Litoměřice, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,37000,Činnosti související s odpadními vodami
00081531,Statutární město Ústí nad Labem,801,Obec nebo městská část hlavního města Prahy,1986-07-01,,13130,Místní vládní instituce,500 - 999 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00082201,"Střední průmyslová škola, Ústí nad Labem, Resslova 5, příspěvková organizace",331,Příspěvková organizace,1985-04-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,85322,Střední odborné vzdělávání na středních odborných školách
00082554,"Střední škola hospodářská a lesnická, Frýdlant, Bělíkova 1387, příspěvková organizace",331,Příspěvková organizace,1981-03-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,85322,Střední odborné vzdělávání na středních odborných školách
00083232,"Severočeské muzeum v Liberci, příspěvková organizace",331,Příspěvková organizace,1977-07-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,91020,Činnosti muzeí
00084409,Obec Osová Bítýška,801,Obec nebo městská část hlavního města Prahy,1980-01-22,,13130,Místní vládní instituce,6 - 9 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00085031,Správa a údržba silnic Pardubického kraje,331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,52210,Činnosti související s pozemní dopravou
00085782,"Domov důchodců Rokytnice nad Jizerou, příspěvková organizace",331,Příspěvková organizace,1991-01-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,87301,Sociální péče v domovech pro seniory
00085839,Muzeum a Pojizerská galerie Semily,331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,6 - 9 zaměstnanců,91020,Činnosti muzeí
00087891,"Integrovaná střední škola, Vysoké nad Jizerou, Dr. Farského 300, příspěvková organizace",331,Příspěvková organizace,1980-03-19,,13130,Místní vládní instituce,50 - 99 zaměstnanců,85321,Střední odborné vzdělávání na učilištích
00087939,Střední odborné učiliště opravárenské,331,Příspěvková organizace,1991-04-29,,13130,Místní vládní instituce,25 - 49 zaměstnanců,85321,Střední odborné vzdělávání na učilištích
00088447,Komorní filharmonie Pardubice,331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,25 - 49 zaměstnanců,90020,Podpůrné činnosti pro scénická umění
00088455,Správa Krkonošského národního parku Vrchlabí,331,Příspěvková organizace,1973-07-01,,13110,Ústřední vládní instituce,250 - 499 zaměstnanců,9104,"Činnosti botanických a zoologických zahrad, přírodních rezervací a národních parků"
00090352,"Masarykovo muzeum v Hodoníně, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,91020,Činnosti muzeí
00090450,"Krajská správa a údržba silnic Vysočiny, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,500 - 999 zaměstnanců,52210,Činnosti související s pozemní dopravou
00091766,"Muzeum Vysočiny Třebíč, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,25 - 49 zaměstnanců,91020,Činnosti muzeí
00092126,"Slovácké muzeum v Uherském Hradišti, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,25 - 49 zaměstnanců,91020,Činnosti muzeí
00092584,"Nemocnice Znojmo, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,1000 - 1499 zaměstnanců,86100,Ústavní zdravotní péče
00094811,"Horácké divadlo Jihlava, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,90010,Scénická umění
00094820,"Národní divadlo Brno, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,500 - 999 zaměstnanců,90010,Scénická umění
00094854,Oblastní galerie Vysočiny v Jihlavě,331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,20 - 24 zaměstnanci,91020,Činnosti muzeí
00094871,Moravská galerie v Brně,331,Příspěvková organizace,1961-04-01,,13110,Ústřední vládní instituce,100 - 199 zaměstnanců,91020,Činnosti muzeí
00095711,"Správa silnic Moravskoslezského kraje, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,500 - 999 zaměstnanců,52210,Činnosti související s pozemní dopravou
00097381,"Technické služby Moravská Ostrava a Přívoz, p.o.",331,Příspěvková organizace,1984-09-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,38110,"Shromažďování a sběr odpadů, kromě nebezpečných"
00098574,"Muzeum regionu Valašsko, příspěvková organizace",331,Příspěvková organizace,1982-01-01,,13130,Místní vládní instituce,25 - 49 zaměstnanců,91020,Činnosti muzeí
00100340,"Střední odborná škola a Střední odborné učiliště podnikání a služeb, Jablunkov, Školní 416, příspěvková organizace",331,Příspěvková organizace,1991-11-20,,13130,Místní vládní instituce,25 - 49 zaměstnanců,85322,Střední odborné vzdělávání na středních odborných školách
00100528,"Národní divadlo moravskoslezské, příspěvková organizace",331,Příspěvková organizace,1982-01-01,,13130,Místní vládní instituce,500 - 999 zaměstnanců,90010,Scénická umění
00100544,Moravské divadlo Olomouc příspěvková organizace,331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,90010,Scénická umění
00100552,"Slezské divadlo Opava, příspěvková organizace",331,Příspěvková organizace,1980-10-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,90010,Scénická umění
00100579,"Moravskoslezská vědecká knihovna v Ostravě, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,91010,Činnosti knihoven a archivů
00101435,Technické muzeum v Brně,331,Příspěvková organizace,1976-09-01,,13110,Ústřední vládní instituce,100 - 199 zaměstnanců,91020,Činnosti muzeí
00101443,"Hvězdárna a planetárium Brno, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,20 - 24 zaměstnanci,7219,Ostatní výzkum a vývoj v oblasti přírodních a technických věd
00101451,"Zoo Brno a stanice zájmových činností, příspěvková organizace",331,Příspěvková organizace,1973-07-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,9104,"Činnosti botanických a zoologických zahrad, přírodních rezervací a národních parků"
00101494,"Knihovna Jiřího Mahena v Brně, příspěvková organizace",331,Příspěvková organizace,1981-12-15,,13130,Místní vládní instituce,100 - 199 zaměstnanců,91010,Činnosti knihoven a archivů
00125423,"Střední škola technická, Most, příspěvková organizace",331,Příspěvková organizace,1991-07-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,85321,Střední odborné vzdělávání na učilištích
00135143,ZÁLESÍ a.s.,121,Akciová společnost,1976-05-01,,11002,Nefinanční podniky soukromé národní,500 - 999 zaměstnanců,22220,Výroba plastových obalů
00139513,"Zemědělské družstvo Hrotovice, družstvo",205,Družstvo,1991-03-29,,11002,Nefinanční podniky soukromé národní,50 - 99 zaměstnanců,01500,Smíšené hospodářství
00140147,"Střední škola řemesel a služeb, Jablonec nad Nisou, Smetanova 66, příspěvková organizace",331,Příspěvková organizace,1988-07-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,85322,Střední odborné vzdělávání na středních odborných školách
00150584,"FORTEX - AGS, a.s.",121,Akciová společnost,1985-08-22,,11002,Nefinanční podniky soukromé národní,250 - 499 zaměstnanců,4120,Výstavba bytových a nebytových budov
00159816,Fakultní nemocnice u sv. Anny v Brně,331,Příspěvková organizace,1990-01-01,,13110,Ústřední vládní instituce,3000 - 3999 zaměstnanců,86100,Ústavní zdravotní péče
00164801,Ministerstvo životního prostředí,325,Organizační složka státu,1990-01-01,,13110,Ústřední vládní instituce,500 - 999 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00167959,Horácká galerie v Novém Městě na Moravě,331,Příspěvková organizace,1980-11-10,,13130,Místní vládní instituce,20 - 24 zaměstnanci,91020,Činnosti muzeí
00170551,OBEC ÚDRNICE,801,Obec nebo městská část hlavního města Prahy,1990-03-01,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00174939,"YOUR SYSTEM, spol.s r.o.",112,Společnost s ručením omezeným,1990-07-16,,11002,Nefinanční podniky soukromé národní,100 - 199 zaměstnanců,62010,Programování
00176150,"Konica Minolta Business Solutions Czech, spol. s r.o.",112,Společnost s ručením omezeným,1990-12-18,,11003,Nefinanční podniky soukromé pod zahraniční kontrolou,250 - 499 zaměstnanců,95110,Opravy počítačů a periferních zařízení
00177016,Český metrologický institut,331,Příspěvková organizace,1991-01-01,,13110,Ústřední vládní instituce,250 - 499 zaměstnanců,7120,Technické zkoušky a analýzy
00179230,Psychiatrická nemocnice Havlíčkův Brod,331,Příspěvková organizace,1991-06-19,,13110,Ústřední vládní instituce,500 - 999 zaměstnanců,86100,Ústavní zdravotní péče
00179540,"Nemocnice Havlíčkův Brod, příspěvková organizace",331,Příspěvková organizace,1992-01-01,,13130,Místní vládní instituce,1000 - 1499 zaměstnanců,86100,Ústavní zdravotní péče
00179639,Obec Chřenovice,801,Obec nebo městská část hlavního města Prahy,1992-01-01,,13130,Místní vládní instituce,1 - 5 zaměstnanců,84110,Všeobecné činnosti veřejné správy
00179680,Obec Boňkov,801,Obec nebo městská část hlavního města Prahy,1992-01-01,,13130,Místní vládní instituce,Neuvedeno,84110,Všeobecné činnosti veřejné správy
00179906,Fakultní nemocnice Hradec Králové,331,Příspěvková organizace,1991-01-01,,13110,Ústřední vládní instituce,5000 - 9999 zaměstnanců,86100,Ústavní zdravotní péče
00191124,Dětský domov pro děti od 1 do 3 let Holice,331,Příspěvková organizace,1993-07-01,,13130,Místní vládní instituce,20 - 24 zaměstnanci,87900,Ostatní pobytové služby sociální péče
00192503,Nemocnice s poliklinikou v Semilech,331,Příspěvková organizace,1992-01-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,86100,Ústavní zdravotní péče
00193976,Odborný léčebný ústav Jevíčko,331,Příspěvková organizace,1991-07-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,86100,Ústavní zdravotní péče
00194913,Domov důchodců Tmavý Důl,331,Příspěvková organizace,1991-07-01,,13130,Místní vládní instituce,50 - 99 zaměstnanců,87301,Sociální péče v domovech pro seniory
00199389,"ML Trade, s.r.o.",112,Společnost s ručením omezeným,1990-11-05,,11002,Nefinanční podniky soukromé národní,1 - 5 zaměstnanců,73110,Činnosti reklamních agentur
00203459,"ARGUS, spol. s r.o.",112,Společnost s ručením omezeným,1991-01-22,,11002,Nefinanční podniky soukromé národní,500 - 999 zaměstnanců,80100,Činnosti soukromých bezpečnostních agentur
00209775,CENTRUM KARDIOVASKULÁRNÍ A TRANSPLANTAČNÍ CHIRURGIE,331,Příspěvková organizace,1991-01-01,,13110,Ústřední vládní instituce,250 - 499 zaměstnanců,86100,Ústavní zdravotní péče
00209805,Masarykův onkologický ústav,331,Příspěvková organizace,1991-01-01,,13110,Ústřední vládní instituce,500 - 999 zaměstnanců,86100,Ústavní zdravotní péče
00209813,Úrazová nemocnice v Brně,331,Příspěvková organizace,1990-01-01,,13130,Místní vládní instituce,500 - 999 zaměstnanců,86100,Ústavní zdravotní péče
00212423,Vězeňská služba České republiky,325,Organizační složka státu,1974-01-01,,13110,Ústřední vládní instituce,4000 - 4999 zaměstnanců,84230,Činnosti v oblasti spravedlnosti a soudnictví
00213713,Katastrální úřad pro Liberecký kraj,325,Organizační složka státu,1974-01-01,,13110,Ústřední vládní instituce,200 - 249 zaměstnanců,84130,Regulace a podpora podnikatelského prostředí
00215651,Vrchní soud v Praze,325,Organizační složka státu,1972-01-01,,13110,Ústřední vládní instituce,200 - 249 zaměstnanců,84230,Činnosti v oblasti spravedlnosti a soudnictví
00215708,Krajský soud v Ústí nad Labem,325,Organizační složka státu,1973-01-01,,13110,Ústřední vládní instituce,250 - 499 zaměstnanců,84230,Činnosti v oblasti spravedlnosti a soudnictví
00215732,Krajský soud v Ostravě,325,Organizační složka státu,1975-05-30,,13110,Ústřední vládní instituce,500 - 999 zaměstnanců,84230,Činnosti v oblasti spravedlnosti a soudnictví
00216208,Univerzita Karlova v Praze,601,Vysoká škola,1972-01-01,,13110,Ústřední vládní instituce,10 000 a více zam.,85420,Terciární vzdělávání
00216224,Masarykova univerzita,601,Vysoká škola,1919-01-28,,13110,Ústřední vládní instituce,5000 - 9999 zaměstnanců,85420,Terciární vzdělávání
00216275,Univerzita Pardubice,601,Vysoká škola,1972-01-01,,13110,Ústřední vládní instituce,1000 - 1499 zaměstnanců,85420,Terciární vzdělávání
00219169,"ARKO TECHNOLOGY, a.s.",121,Akciová společnost,1991-01-29,,11003,Nefinanční podniky soukromé pod zahraniční kontrolou,25 - 49 zaměstnanců,71110,Architektonické činnosti
00225827,"Nemocnice Ivančice, příspěvková organizace",331,Příspěvková organizace,1991-07-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,86100,Ústavní zdravotní péče
00226475,"Střední škola technická a ekonomická Brno, Olomoucká, příspěvková organizace",331,Příspěvková organizace,1991-07-01,,13130,Místní vládní instituce,100 - 199 zaměstnanců,85322,Střední odborné vzdělávání na středních odborných školách
00231126,Městská část Praha 11,801,Obec nebo městská část hlavního města Prahy,1988-01-01,,13130,Místní vládní instituce,250 - 499 zaměstnanců,84110,Všeobecné činnosti veřejné správy
